fr_school_id	maxpreps_url	school_id	method	games_count
mo-kirksville-kirksville	https://www.maxpreps.com/mo/kirksville/kirksville-tigers/football/schedule/	45e62433-cf89-44ec-8286-152d2df0540f	search	9
nj-rutherford-rutherford	https://www.maxpreps.com/nj/rutherford/rutherford-bulldogs/football/schedule/	3b489fc7-d810-4783-815f-5d27ac66667e	search	9
ny-melville-saint-anthonys	https://www.maxpreps.com/ny/melville/st-anthonys-friars/football/schedule/	6aacfc8b-2ea7-4f62-87c6-0fd76fcdf2ad	search	9
ny-saratoga-springs-saratoga-springs	https://www.maxpreps.com/ny/saratoga-springs/saratoga-springs-blue-streaks/football/schedule/	067f1530-e85e-4ce2-ba90-9c9afb0559fb	search	9
ok-piedmont-piedmont	https://www.maxpreps.com/ok/piedmont/piedmont-wildcats/football/schedule/	ba8e79c4-3071-4a1f-b86e-23cf92dadace	search	9
tx-keller-keller	https://www.maxpreps.com/tx/keller/keller-indians/football/schedule/	63481374-863b-454b-90b9-aaa97ae8cc1d	search	9
tx-keller-keller-central	https://www.maxpreps.com/tx/keller/keller-central-chargers/football/schedule/	131cdbf1-0ad4-4605-a166-8873f1c29b75	search	9
wa-federal-way-federal-way	https://www.maxpreps.com/wa/federal-way/federal-way-eagles/football/schedule/	9d6442ed-5e16-456f-a4c0-501f570c5e5e	search	9
wi-wisconsin-dells-wisconsin-dells	https://www.maxpreps.com/wi/wisconsin-dells/wisconsin-dells-chiefs/football/schedule/	835c3d8e-ecfd-415d-a474-d66151741a75	search	9
il-chicago-morgan-park	https://www.maxpreps.com/il/chicago/morgan-park-mustangs/football/schedule/	a9b44a61-199f-46c4-93e0-46683c8294b4	crosswalk	8
ks-rose-hill-rose-hill	https://www.maxpreps.com/ks/rose-hill/rose-hill-rockets/football/schedule/	646c747a-120b-4fda-9b57-25155564c91c	search	8
mi-muskegon-muskegon	https://www.maxpreps.com/mi/muskegon/muskegon-big-reds/football/schedule/	d12119bc-3b66-4b2a-a91c-8ea00ab529c7	crosswalk	8
mn-hills-hills-beaver-creek	https://www.maxpreps.com/mn/hills/hills-beaver-creek-patriots/football/schedule/	44c2a544-7366-4f94-8f20-23d743fe3d10	search	8
ok-jenks-jenks	https://www.maxpreps.com/ok/jenks/jenks-trojans/football/schedule/	4cf688f9-83e5-4f16-9af7-eadebbff8a83	crosswalk	8
wa-bellevue-bellevue	https://www.maxpreps.com/wa/bellevue/bellevue-wolverines/football/schedule/	54de1e46-ce20-494a-b24f-437ba874db78	search	8
nj-lawrenceville-lawrenceville-school	https://www.maxpreps.com/nj/lawrenceville/lawrenceville-school-big-red/football/schedule/	b1bceded-e849-4b76-9e0d-aef7aa997131	player-name	7
ok-cache-cache	https://www.maxpreps.com/ok/cache/cache-bulldogs/football/schedule/	684d6c79-60fb-4f11-af28-607592ba47ec	search	6
ia-odebolt-odebolt-arthur	https://www.maxpreps.com/ia/odebolt/odebolt-arthur-trojans/football/schedule/	49543a70-6f75-4bf0-b37a-f38d8099b730	crosswalk	
la-lake-charles-hamilton-christian-academy	https://www.maxpreps.com/la/lake-charles/hamilton-christian-warriors/football/schedule/	e47f2b45-755f-4eb1-86ed-4ed5334b0998	crosswalk	
